model,rank,feature,importance
KNN,1,reviews_per_month,0.16634746568074912
KNN,2,property_type,0.15910272671820047
KNN,3,price,0.13804387494399106
KNN,4,minimum_nights,0.1246645789894616
KNN,5,amenities_count,0.087606696727714
KNN,6,number_of_reviews,0.06546697549217399
KNN,7,bathrooms,0.04019945828914676
KNN,8,bedrooms,0.03784107451266009
KNN,9,maximum_nights,0.0375877250541814
KNN,10,accommodates,0.036853957961202534
KNN,11,availability_30,0.03667709814393727
KNN,12,beds,0.032919958178285115
KNN,13,availability_365,0.026905236233989882
KNN,14,calculated_host_listings_count,-0.005167680966398007
RandomForest,1,price,0.4260445502457733
RandomForest,2,number_of_reviews,0.3075809991200061
RandomForest,3,reviews_per_month,0.23173298339957119
RandomForest,4,minimum_nights,0.14862964001119924
RandomForest,5,property_type,0.11357742951314517
RandomForest,6,amenities_count,0.02397560337167178
RandomForest,7,accommodates,0.01703354593996187
RandomForest,8,bedrooms,0.011925413035047794
RandomForest,9,maximum_nights,0.011357111083690826
RandomForest,10,bathrooms,0.01050418358223352
RandomForest,11,calculated_host_listings_count,0.007305118526981051
RandomForest,12,availability_365,0.00612851464907586
RandomForest,13,beds,0.006051483311192356
RandomForest,14,availability_30,0.005823811841548417
